nm; %T
900.000000; 65.413944
899.000000; 68.294153
898.000000; 65.752299
897.000000; 67.365840
896.000000; 65.378606
895.000000; 67.829394
894.000000; 67.210087
893.000000; 64.777693
892.000000; 65.869284
891.000000; 68.357981
890.000000; 68.009812
889.000000; 66.545455
888.000000; 66.850440
887.000000; 66.530537
886.000000; 65.965527
885.000000; 67.424069
884.000000; 66.854856
883.000000; 65.903448
882.000000; 65.973972
881.000000; 66.342166
880.000000; 66.139139
879.000000; 65.138850
878.000000; 66.894124
877.000000; 65.470443
876.000000; 65.621446
875.000000; 65.470868
874.000000; 64.861723
873.000000; 65.172017
872.000000; 65.031576
871.000000; 65.404389
870.000000; 65.372976
869.000000; 65.523421
868.000000; 64.922595
867.000000; 64.932856
866.000000; 64.680485
865.000000; 64.419816
864.000000; 63.607178
863.000000; 63.927588
862.000000; 64.037352
861.000000; 63.513881
860.000000; 62.306968
859.000000; 63.157890
858.000000; 63.240500
857.000000; 63.580155
856.000000; 62.619852
855.000000; 62.622844
854.000000; 62.757084
853.000000; 62.321322
852.000000; 62.429097
851.000000; 62.521162
850.000000; 62.089820
849.000000; 61.530389
848.000000; 61.329967
847.000000; 61.336571
846.000000; 61.102811
845.000000; 61.002001
844.000000; 60.958101
843.000000; 60.641609
842.000000; 60.244950
841.000000; 60.193590
840.000000; 60.280423
839.000000; 60.094835
838.000000; 59.880618
837.000000; 59.587954
836.000000; 59.226651
835.000000; 59.104223
834.000000; 59.273071
833.000000; 58.872609
832.000000; 58.628677
831.000000; 58.272000
830.000000; 58.132323
829.000000; 58.225431
828.000000; 58.186059
827.000000; 57.949906
826.000000; 57.438311
825.000000; 57.016536
824.000000; 56.952298
823.000000; 57.090459
822.000000; 56.877136
821.000000; 56.651580
820.000000; 56.617454
819.000000; 56.403153
818.000000; 56.243350
817.000000; 56.039967
816.000000; 56.024827
815.000000; 55.868791
814.000000; 55.590697
813.000000; 55.410835
812.000000; 55.113349
811.000000; 54.895565
810.000000; 54.802442
809.000000; 54.656253
808.000000; 54.591456
807.000000; 54.435095
806.000000; 54.281715
805.000000; 54.119942
804.000000; 53.801072
803.000000; 53.738089
802.000000; 53.621750
