PWO_J31_irr	
Wavelength (nm)	%T
900	80.06718445
899.5	77.99058533
899	78.02476501
898.5	78.54249573
898	78.68190002
897.5	78.46619415
897	78.11593628
896.5	78.64765167
896	77.01034546
895.5	78.54000092
895	77.51322174
894.5	76.94381714
894	78.43263245
893.5	78.53569794
893	77.4618988
892.5	76.89749146
892	76.76485443
891.5	76.61257172
891	77.02069855
890.5	76.96295166
890	78.00440216
889.5	78.47885132
889	78.15157318
888.5	78.84827423
888	78.08843231
887.5	76.99367523
887	77.37130737
886.5	76.4741745
886	77.95493317
885.5	77.09944916
885	77.56268311
884.5	78.2233963
884	77.09955597
883.5	76.9980011
883	77.5446167
882.5	76.21481323
882	77.56147766
881.5	77.89284515
881	78.05347443
880.5	76.69213104
880	76.93493652
879.5	77.31686401
879	77.30810547
878.5	76.37807465
878	76.80922699
877.5	77.22379303
877	76.68585205
876.5	76.97808075
876	75.86103821
875.5	76.88537598
875	77.02087402
874.5	77.14006042
874	76.13570404
873.5	76.69572449
873	75.66725159
872.5	76.84763336
872	77.21277618
871.5	76.52411652
871	76.97177124
870.5	76.52980042
870	76.94311523
869.5	76.32834625
869	76.21659851
868.5	76.47395325
868	76.65970612
867.5	75.97930145
867	76.59910583
866.5	76.29723358
866	76.38239288
865.5	76.10247803
865	76.38481903
864.5	76.69404602
864	76.56682587
863.5	76.51757813
863	76.62923431
862.5	76.67853546
862	76.62540436
861.5	75.82679749
861	76.8009491
860.5	76.52017212
860	76.07538605
859.5	76.3432312
859	75.85385895
858.5	75.83449554
858	76.09641266
857.5	76.47212982
857	75.75366211
856.5	75.90245056
856	75.89024353
855.5	76.35747528
855	75.95478058
854.5	75.99093628
854	75.93143463
853.5	75.89499664
853	75.84629822
852.5	75.71392822
852	75.84273529
851.5	75.64225006
851	75.88082123
850.5	76.10251617
850	75.95153809
849.5	75.67938232
849	75.66850281
848.5	75.65576935
848	75.62308502
847.5	75.78679657
847	75.72241974
846.5	75.87638855
846	75.53598022
845.5	75.66254425
845	75.53766632
844.5	75.47903442
844	75.54077911
843.5	75.41374207
843	75.55328369
842.5	75.64713287
842	75.26608276
841.5	75.53546906
841	75.39135742
840.5	75.35528564
840	75.26257324
839.5	75.49742126
839	75.49040222
838.5	75.46498108
838	75.28167725
837.5	75.27922058
837	75.2645874
836.5	75.30974579
836	75.27715302
835.5	75.26528168
835	75.24097443
834.5	75.13439941
834	75.17889404
833.5	75.10454559
833	75.18962097
832.5	75.08770752
832	75.06531525
831.5	75.0769577
831	74.96361542
830.5	75.04734802
830	74.95423889
829.5	75.0117569
829	74.89074707
828.5	75.01254272
828	74.89778137
827.5	74.83628845
827	74.96916962
826.5	74.85212708
826	74.81350708
825.5	74.65958405
825	74.77626801
824.5	74.79608154
824	74.81023407
823.5	74.76755524
823	74.79353333
822.5	74.74482727
822	74.74692535
821.5	74.68154907
821	74.63525391
820.5	74.58132172
820	74.63552094
819.5	74.56492615
819	74.5406723
818.5	74.51872253
818	74.46642303
817.5	74.5455246
817	74.45860291
816.5	74.5562439
816	74.50095367
815.5	74.53075409
815	74.43687439
814.5	74.4561615
814	74.40097809
813.5	74.45829773
813	74.39920044
812.5	74.4148407
812	74.35018921
811.5	74.2911911
811	74.25843811
810.5	74.2637558
810	74.25406647
809.5	74.33203888
809	74.22444916
808.5	74.35509491
808	74.16117859
807.5	74.2006073
807	74.1830368
806.5	74.15820313
806	74.14890289
805.5	74.13794708
805	74.10271454
804.5	74.20004272
804	74.09563446
803.5	74.03653717
803	74.03688049
802.5	74.10012817
802	74.02841187
801.5	74.00299835
801	74.01268005
800.5	73.9768219
800	74.03144836
799.5	73.98799133
799	73.99151611
798.5	73.98953247
798	73.95587921
797.5	73.97798157
797	73.90930939
796.5	73.91222382
796	73.87203217
795.5	73.78102875
795	73.84770966
794.5	73.78346252
794	73.79553986
793.5	73.82429504
793	73.78132629
792.5	73.75576782
792	73.77040863
791.5	73.74373627
791	73.71356201
790.5	73.71190643
790	73.77983093
789.5	73.73738861
789	73.68075562
788.5	73.6607132
788	73.66822815
787.5	73.68198395
787	73.71530151
786.5	73.65861511
786	73.64759064
785.5	73.56399536
785	73.67691803
784.5	73.61807251
784	73.55178833
783.5	73.50250244
783	73.49489594
782.5	73.52292633
782	73.44590759
781.5	73.49157715
781	73.49716187
780.5	73.51138306
