PWO_J31_before	
Wavelength (nm)	%T
900	80.52419281
899.5	76.85708618
899	78.33049011
898.5	78.03675079
898	80.51831055
897.5	77.22674561
897	78.61595154
896.5	77.79079437
896	78.85190582
895.5	77.5533905
895	77.79399872
894.5	79.76509094
894	77.55076599
893.5	77.49671936
893	78.22667694
892.5	78.37081146
892	77.53393555
891.5	77.90866852
891	77.95093536
890.5	78.451828
890	76.68344116
889.5	78.17996216
889	78.09129333
888.5	77.95397186
888	77.33989716
887.5	77.47143555
887	77.5160675
886.5	77.67615509
886	76.16481018
885.5	77.30234528
885	77.15694427
884.5	77.25636292
884	77.93684387
883.5	77.08106995
883	77.45426941
882.5	77.42935181
882	78.27468872
881.5	76.72322845
881	77.55565643
880.5	78.36746216
880	77.25606537
879.5	78.05305481
879	76.92523956
878.5	77.76103973
878	77.37261963
877.5	77.61750793
877	77.51544952
876.5	77.86090088
876	76.73364258
875.5	77.6460495
875	77.93611145
874.5	77.2051239
874	76.3915329
873.5	77.05457306
873	76.27191925
872.5	77.34746552
872	77.02597809
871.5	77.05253601
871	76.72094727
870.5	76.89318085
870	77.16402435
869.5	76.73640442
869	76.71240234
868.5	76.80895996
868	76.76755524
867.5	76.60992432
867	76.65877533
866.5	76.355896
866	76.8239212
865.5	76.38967896
865	76.97444916
864.5	76.70430756
864	76.36730957
863.5	76.49872589
863	76.70681
862.5	76.41812897
862	76.24983215
861.5	76.44800568
861	76.22795868
860.5	76.02375793
860	76.51439667
859.5	76.42894745
859	76.50959015
858.5	76.23771667
858	76.44077301
857.5	76.50926971
857	76.12439728
856.5	76.09262085
856	76.05535126
855.5	76.38014984
855	76.48527527
854.5	75.97596741
854	76.21309662
853.5	76.23027039
853	76.19525146
852.5	76.23304749
852	76.04282379
851.5	76.28629303
851	76.15120697
850.5	76.20864868
850	75.78896332
849.5	76.01600647
849	76.27671814
848.5	76.02067566
848	75.94458771
847.5	75.9332428
847	76.06113434
846.5	75.78927612
846	76.05295563
845.5	76.05435944
845	75.91229248
844.5	75.97949219
844	75.85485077
843.5	75.90252686
