PWO_J37_before	
Wavelength (nm)	%T
900	83.23046875
899.5	82.95023346
899	83.42524719
898.5	83.01961517
898	84.07180786
897.5	82.42897034
897	81.86643982
896.5	82.97858429
896	83.57223511
895.5	83.29984283
895	81.64440918
894.5	83.51985931
894	82.15406036
893.5	81.53856659
893	82.79217529
892.5	82.55845642
892	82.0382843
891.5	82.39199829
891	81.14652252
890.5	84.06393433
890	81.35430145
889.5	82.51036072
889	81.84783173
888.5	82.62908936
888	82.5666275
887.5	83.22546387
887	80.83164978
886.5	82.0484314
886	81.52788544
885.5	81.83488464
885	81.16583252
884.5	81.14459991
884	81.86286926
883.5	81.94390869
883	82.29742432
882.5	81.95428467
882	81.27083588
881.5	80.62637329
881	81.59342957
880.5	81.73511505
880	81.20494843
879.5	81.61408997
879	81.44120789
878.5	81.88108063
878	81.5421524
877.5	81.56856537
877	81.58692169
876.5	81.18602753
876	81.41764832
875.5	81.70457458
875	81.3105011
874.5	80.72483826
874	80.97148132
873.5	81.00745392
873	80.31059265
872.5	80.60549927
872	81.0242691
871.5	80.43035889
871	80.152565
870.5	80.95778656
870	81.09497833
869.5	80.30974579
869	80.46266937
868.5	80.89528656
868	80.32759094
867.5	80.59471893
867	80.49327087
866.5	80.20804596
866	80.5987854
865.5	79.9169693
865	80.79932404
864.5	80.7779007
864	80.24568176
863.5	80.51129913
863	80.2960434
862.5	80.62454224
862	80.568573
861.5	79.80738068
861	80.01232147
860.5	79.73921967
860	80.35998535
859.5	80.31710815
859	80.24760437
858.5	79.94686127
858	80.39316559
857.5	80.39380646
857	80.0118103
856.5	79.93566132
856	80.30412292
855.5	80.27397919
855	80.43034363
854.5	80.13560486
854	80.07463837
853.5	80.20005798
853	79.82987976
852.5	80.44752502
852	80.05173492
851.5	80.33501434
851	80.40821838
850.5	79.94477844
850	80.02010345
849.5	80.29602051
849	80.25285339
848.5	80.19947052
848	80.2072525
847.5	80.09617615
847	79.98841095
846.5	79.92230988
846	80.34738922
845.5	80.22621155
845	80.18470764
844.5	80.09497833
844	80.15918732
843.5	80.03292847
843	79.95451355
842.5	80.16650391
842	80.24095917
841.5	80.26100159
841	80.15582275
840.5	80.08971405
840	80.27783203
839.5	80.05717468
839	80.12317657
838.5	80.08648682
838	80.22019196
837.5	80.18238831
837	79.89949799
836.5	79.87963867
836	80.07507324
835.5	80.0668869
