PWO_J11_irr	
Wavelength (nm)	%T
900	75.0521698
899.5	73.41477966
899	74.64585876
898.5	73.92906189
898	73.89199066
897.5	72.99577332
897	75.16091156
896.5	73.65195465
896	74.05796814
895.5	74.34031677
895	73.11675262
894.5	74.06713867
894	74.29907227
893.5	74.16547394
893	72.59207916
892.5	74.90407562
892	73.81633759
891.5	75.22568512
891	74.2900238
890.5	73.64149475
890	75.04149628
889.5	74.41231537
889	74.71425629
888.5	74.20226288
888	74.40703583
887.5	73.49073792
887	74.48600769
886.5	73.91683197
886	74.88905334
885.5	73.91870117
885	74.89694977
884.5	72.91824341
884	73.73215485
883.5	74.70825195
883	73.83209229
882.5	73.40401459
882	73.59710693
881.5	74.69522095
881	74.3621521
880.5	73.77253723
880	73.46042633
879.5	73.68107605
879	73.50817108
878.5	74.49730682
878	73.84353638
877.5	73.63764954
877	74.29650116
876.5	74.86017609
876	74.13425446
875.5	74.34368134
875	73.81543732
874.5	73.69139099
874	74.19782257
873.5	73.92149353
873	74.25724792
872.5	73.82957458
872	73.59951019
871.5	74.29444122
871	73.70519257
870.5	73.93971252
870	74.44998932
869.5	73.89058685
869	73.10787964
868.5	73.93569183
868	73.76235962
867.5	73.41513824
867	73.57426453
866.5	73.63789368
866	73.71809387
865.5	74.11080933
865	73.46985626
864.5	73.4577179
864	74.0280304
863.5	73.5226593
863	73.40250397
862.5	73.63513947
862	73.50046539
861.5	72.9749527
861	73.20626831
860.5	73.51797485
860	73.81832886
859.5	73.1842041
859	73.31762695
858.5	73.15827942
858	73.48575592
857.5	73.13256073
857	73.42732239
856.5	73.15003204
856	73.30776978
855.5	73.30841064
855	73.25188446
854.5	73.19976044
854	73.21916199
853.5	73.42186737
853	73.12125397
852.5	73.11617279
852	73.22928619
851.5	73.23001862
851	72.90614319
850.5	72.90818787
850	72.90589142
849.5	72.84932709
849	73.05805969
848.5	72.93773651
848	72.88348389
847.5	73.10391998
847	72.99367523
846.5	72.90248871
846	73.06615448
845.5	72.70970154
845	72.90049744
844.5	72.87563324
844	72.75756836
843.5	72.75857544
843	72.76183319
842.5	72.77571869
842	72.72464752
841.5	72.60881805
841	72.63949585
840.5	72.67749786
840	72.5640564
839.5	72.49663544
839	72.42100525
838.5	72.64209747
838	72.58683777
837.5	72.43692017
837	72.44101715
836.5	72.39519501
836	72.28109741
835.5	72.38830566
835	72.31137848
834.5	72.23280334
834	72.28199768
833.5	72.22410583
833	72.29650879
832.5	72.36417389
832	72.14063263
831.5	72.1986618
831	72.1844635
830.5	72.11696625
830	72.08990479
829.5	72.01566315
829	72.05303955
828.5	71.95922852
828	71.8597641
827.5	71.94893646
827	71.97179413
826.5	71.89840698
826	71.79891205
825.5	71.74136353
825	71.66907501
824.5	71.74842072
824	71.71794891
823.5	71.59170532
823	71.59394836
822.5	71.56754303
822	71.50361633
821.5	71.52039337
821	71.57047272
820.5	71.49597931
820	71.46513367
819.5	71.47660828
819	71.41578674
818.5	71.3609314
818	71.42059326
817.5	71.27092743
817	71.2022934
816.5	71.25994873
816	71.15123749
815.5	71.17573547
815	71.18657684
814.5	71.12986755
814	71.0994873
813.5	71.13536835
813	71.0174942
812.5	71.0397644
812	71.02005005
811.5	71.01524353
811	70.99156189
810.5	70.86975861
810	70.89067841
809.5	70.92024994
809	70.91318512
808.5	70.76091003
808	70.74198151
807.5	70.76750946
807	70.81788635
806.5	70.75537109
806	70.68790436
805.5	70.60507965
805	70.67788696
804.5	70.58194733
804	70.6223526
803.5	70.52076721
803	70.62281036
802.5	70.56661987
802	70.49243164
801.5	70.52952576
801	70.52122498
800.5	70.40843964
800	70.39174652
799.5	70.27529144
799	70.31123352
798.5	70.39477539
798	70.1811142
797.5	70.15818024
797	70.23716736
796.5	70.1492691
796	70.25432587
795.5	70.13694763
795	70.0447998
794.5	70.14120483
794	70.1150589
793.5	70.04124451
793	70.0200882
792.5	69.95605469
792	69.99432373
791.5	69.97202301
791	69.91817474
790.5	69.87536621
790	69.83259583
789.5	69.8376236
789	69.86607361
788.5	69.811409
788	69.79229736
787.5	69.75213623
787	69.71205139
786.5	69.70539093
786	69.70594788
785.5	69.63825989
785	69.64477539
784.5	69.56429291
784	69.55250549
783.5	69.5844574
783	69.52401733
782.5	69.49344635
782	69.48077393
781.5	69.41125488
781	69.45241547
780.5	69.43297577
780	69.43047333
779.5	69.4091568
779	69.40393829
778.5	69.33448029
778	69.27745819
777.5	69.25112915
777	69.24355316
776.5	69.21979523
776	69.22246552
775.5	69.19252014
775	69.14279938
774.5	69.16368866
774	69.08388519
773.5	69.0386734
773	69.07865143
772.5	69.0524826
772	69.02601624
771.5	68.99606323
771	68.97206116
770.5	68.95050812
770	68.96059418
769.5	68.89122772
769	68.84687805
768.5	68.83939362
768	68.78657532
767.5	68.76861572
767	68.82363129
766.5	68.77524567
766	68.80162048
765.5	68.69932556
765	68.71238708
764.5	68.66553497
764	68.65657806
763.5	68.63920593
763	68.63674164
762.5	68.58387756
762	68.54967499
761.5	68.54099274
761	68.55332184
760.5	68.50508118
760	68.47087097
759.5	68.46450806
759	68.45774078
758.5	68.40078735
758	68.35470581
757.5	68.35073853
757	68.37917328
756.5	68.2851944
756	68.22687531
755.5	68.23956299
755	68.27321625
754.5	68.2015152
754	68.16099548
753.5	68.18190765
753	68.18106079
752.5	68.14840698
752	68.0619812
751.5	68.08963776
751	68.09437561
750.5	68.05886841
750	67.99777222
749.5	68.01385498
749	67.99263763
748.5	67.97588348
748	67.92435455
747.5	67.89177704
747	67.86476898
746.5	67.90322876
746	67.85047913
745.5	67.81583405
745	67.85372925
744.5	67.75865173
744	67.73705292
743.5	67.77429962
743	67.71821594
742.5	67.75292206
742	67.69494629
741.5	67.6255188
741	67.66473389
740.5	67.64289093
740	67.61299133
739.5	67.60155487
739	67.64093018
738.5	67.56614685
738	67.55238342
737.5	67.4968338
737	67.5238266
736.5	67.44171143
736	67.45693207
735.5	67.50215912
735	67.43809509
734.5	67.41397095
734	67.39726257
733.5	67.36779785
733	67.35617828
732.5	67.41876221
732	67.37670898
731.5	67.34801483
731	67.31604004
730.5	67.26130676
730	67.30818176
729.5	67.307724
729	67.31116486
728.5	67.24185181
728	67.26191711
727.5	67.17939758
727	67.19168091
726.5	67.19037628
726	67.17936707
725.5	67.15100098
725	67.17195129
724.5	67.11182404
724	67.12716675
723.5	67.14497375
723	67.1313858
722.5	67.07936859
722	67.0747757
721.5	67.08567047
721	67.05857849
720.5	67.05154419
720	67.01953888
719.5	67.00578308
719	67.0187149
718.5	66.98391724
718	66.95915222
717.5	66.96121979
717	66.98684692
716.5	66.9425354
716	66.94405365
715.5	66.89277649
715	66.90171051
714.5	66.91685486
714	66.88361359
713.5	66.87595367
713	66.84020233
712.5	66.84299469
712	66.81718445
711.5	66.86502838
711	66.78048706
710.5	66.79950714
710	66.81028748
709.5	66.79653168
709	66.79354095
708.5	66.7846756
708	66.76026917
707.5	66.74053955
707	66.74346161
706.5	66.73673248
706	66.71379852
705.5	66.70587921
705	66.7009201
704.5	66.71895599
704	66.68373108
703.5	66.6878891
703	66.65497589
702.5	66.65293121
702	66.61800385
701.5	66.62927246
701	66.6521225
700.5	66.61447906
700	66.57688904
699.5	66.56435394
699	66.58729553
698.5	66.54846954
698	66.5553894
697.5	66.54828644
697	66.53015137
696.5	66.49471283
696	66.49356079
695.5	66.49182129
695	66.47460175
694.5	66.45865631
694	66.46160126
693.5	66.46710205
693	66.43967438
692.5	66.42254639
692	66.40306091
691.5	66.37598419
691	66.34231567
690.5	66.38157654
690	66.35568237
689.5	66.3203125
689	66.29654694
688.5	66.29727173
688	66.28707886
687.5	66.25538635
687	66.25840759
686.5	66.23388672
686	66.22453308
685.5	66.18711853
685	66.1778717
684.5	66.174263
684	66.15211487
683.5	66.12021637
683	66.09923553
682.5	66.08457947
682	66.07896423
681.5	66.07820129
681	66.02855682
680.5	66.01184845
680	65.98735809
679.5	65.96546173
679	65.95182037
678.5	65.9256897
678	65.89344025
677.5	65.88062286
677	65.84654999
676.5	65.8288269
676	65.80713654
675.5	65.77755737
675	65.73408508
674.5	65.71500397
674	65.69997406
673.5	65.67717743
673	65.66941071
672.5	65.63349152
672	65.58842468
671.5	65.58298492
671	65.54128265
670.5	65.4865036
670	65.46632385
669.5	65.42185211
669	65.39847565
668.5	65.37384033
668	65.35860443
667.5	65.29572296
667	65.25189972
666.5	65.21813965
666	65.19303894
665.5	65.12542725
665	65.11522675
664.5	65.08664703
664	65.03554535
663.5	65.0059967
663	64.97077179
662.5	64.92080688
662	64.8992691
661.5	64.85486603
661	64.8015976
660.5	64.75319672
660	64.69993591
659.5	64.68253326
659	64.63197327
658.5	64.57524109
658	64.52352142
657.5	64.4803009
657	64.42867279
656.5	64.39864349
656	64.34345245
655.5	64.26073456
655	64.23751068
654.5	64.18087769
654	64.14600372
653.5	64.07624817
653	64.03630066
652.5	63.97735596
652	63.92474747
651.5	63.85997009
651	63.79868317
650.5	63.75484467
650	63.68467331
649.5	63.62630844
649	63.55746841
648.5	63.50305176
648	63.45703506
647.5	63.38543701
647	63.32557297
646.5	63.25221634
646	63.20459366
645.5	63.13511658
645	63.07168579
644.5	62.98482895
644	62.95536804
643.5	62.89461136
643	62.79066849
642.5	62.73667145
642	62.67158508
641.5	62.60308456
641	62.54195404
640.5	62.44762421
640	62.39159012
639.5	62.32724762
639	62.25867462
638.5	62.19526672
638	62.10051346
637.5	62.01261902
637	61.95707321
636.5	61.89284515
636	61.80768585
635.5	61.7178688
635	61.6543541
634.5	61.59229279
634	61.51857376
633.5	61.44797134
633	61.3781929
632.5	61.28048706
632	61.23274994
631.5	61.1388855
631	61.06558609
630.5	60.97291183
630	60.90895462
629.5	60.82826996
629	60.74649811
628.5	60.67020798
628	60.60286713
627.5	60.53800583
627	60.45282364
626.5	60.37701416
626	60.28961563
625.5	60.21868515
625	60.17839432
624.5	60.07285309
624	59.99199295
623.5	59.93138123
623	59.85800171
622.5	59.78884125
622	59.70142365
621.5	59.6325264
621	59.5475502
620.5	59.49034119
620	59.39912033
619.5	59.3484993
619	59.28132629
618.5	59.2132988
618	59.14875412
617.5	59.07180786
617	58.98900604
616.5	58.92514038
616	58.86849594
615.5	58.79216766
615	58.71455765
614.5	58.64779282
614	58.57765579
613.5	58.51128006
613	58.44299698
612.5	58.36745453
612	58.29636002
611.5	58.22261429
611	58.16176605
610.5	58.09317398
610	58.01485825
609.5	57.93426132
609	57.86320114
608.5	57.80344772
608	57.73831177
