PWO_J23_irr	
Wavelength (nm)	%T
496	27.83098221
495.5	27.80493546
495	27.79392624
494.5	27.77197647
494	27.73247147
493.5	27.71355438
493	27.69464493
492.5	27.67536354
492	27.65042114
491.5	27.62638283
491	27.61076355
490.5	27.59508705
490	27.56895638
489.5	27.55565071
489	27.53189278
488.5	27.50212479
488	27.48290634
487.5	27.45787811
487	27.44787407
486.5	27.42329216
486	27.40699577
485.5	27.38484383
485	27.37395096
484.5	27.34571075
484	27.33248138
483.5	27.32293892
483	27.28788757
482.5	27.27393723
482	27.26216698
481.5	27.23334122
481	27.21264267
480.5	27.20934677
480	27.17422867
479.5	27.15371323
479	27.14170265
478.5	27.11509132
478	27.10125732
477.5	27.08081055
477	27.07230759
476.5	27.0283432
476	27.03363228
475.5	27.00331879
475	26.99919128
474.5	26.97463417
474	26.9539299
473.5	26.92763138
473	26.93105888
472.5	26.89680099
472	26.87214851
471.5	26.85072327
471	26.84162521
470.5	26.83012199
470	26.81742859
469.5	26.80594635
469	26.77296448
468.5	26.75490379
468	26.73744011
467.5	26.71012497
467	26.69816589
466.5	26.68906784
466	26.66198921
465.5	26.64434814
465	26.61295509
464.5	26.60456276
464	26.59595299
463.5	26.56653595
463	26.53432274
462.5	26.52148056
462	26.50701904
461.5	26.48158455
461	26.46229935
460.5	26.45100594
460	26.43525696
459.5	26.4018364
459	26.38720894
458.5	26.36867523
458	26.34087753
457.5	26.32866859
457	26.30749702
456.5	26.28234863
456	26.25289345
455.5	26.24228287
455	26.19960022
454.5	26.1943512
454	26.1690731
453.5	26.14269257
453	26.11143875
452.5	26.10256958
452	26.06576729
451.5	26.04151154
451	26.01168823
450.5	26.00001717
450	25.9614563
449.5	25.94713593
449	25.90186691
448.5	25.89440727
448	25.86423111
447.5	25.8428669
447	25.81154442
446.5	25.78461075
446	25.751791
445.5	25.72135544
445	25.70296478
444.5	25.67922401
444	25.64782715
443.5	25.60963249
443	25.5831356
442.5	25.55108643
442	25.52121925
441.5	25.492239
441	25.45918465
440.5	25.43106079
440	25.40605736
439.5	25.36580276
439	25.32288742
438.5	25.31108475
438	25.26218796
437.5	25.22557068
437	25.19203758
436.5	25.16459465
436	25.13746834
435.5	25.08446884
435	25.05888557
434.5	25.01456833
434	24.98443413
433.5	24.94305801
433	24.89981461
432.5	24.86512566
432	24.84623909
431.5	24.80904388
431	24.77379608
430.5	24.72543526
430	24.70452118
429.5	24.64289093
429	24.59638786
428.5	24.55104637
428	24.49512672
427.5	24.47878647
427	24.44083786
426.5	24.38986969
426	24.34843063
425.5	24.30675125
425	24.26095772
424.5	24.20202827
424	24.17051125
423.5	24.11455345
423	24.06967735
422.5	24.03296471
422	23.97801208
421.5	23.93737221
421	23.89055824
420.5	23.84956551
420	23.79431343
419.5	23.74223328
419	23.69834709
418.5	23.65368271
418	23.59555435
417.5	23.56534958
417	23.50514793
416.5	23.44536018
416	23.38488197
415.5	23.35808372
415	23.28115463
414.5	23.23594856
414	23.19035721
413.5	23.12474632
413	23.07103157
412.5	23.03011131
412	22.97659874
411.5	22.93762207
411	22.86140823
410.5	22.81834602
410	22.75645065
409.5	22.71894455
409	22.64717293
408.5	22.59136009
408	22.53371239
407.5	22.47757339
407	22.43152618
406.5	22.36243248
406	22.31355095
405.5	22.25812721
405	22.18589211
404.5	22.14637184
404	22.08093071
403.5	22.00927353
403	21.96596146
402.5	21.90573883
402	21.83704185
401.5	21.77928543
401	21.72983932
400.5	21.67459297
400	21.5935173
399.5	21.54360771
399	21.46469307
398.5	21.4239254
398	21.35897255
397.5	21.28483772
397	21.22720146
396.5	21.16204262
396	21.09846687
395.5	21.04132843
395	20.96086121
394.5	20.91680145
394	20.83695602
393.5	20.77148247
393	20.73626709
392.5	20.6599884
392	20.58380318
391.5	20.50234222
391	20.4676857
390.5	20.40142441
390	20.32550812
389.5	20.2715168
389	20.21335602
388.5	20.12419128
388	20.07751274
387.5	20.00922203
387	19.9406395
386.5	19.87332344
386	19.80256462
385.5	19.75121307
385	19.67653847
384.5	19.62072754
384	19.55962753
383.5	19.50056648
383	19.43622017
382.5	19.36148453
382	19.29539871
381.5	19.23177338
381	19.17942619
380.5	19.12697792
380	19.0624485
379.5	18.97625923
379	18.90885353
378.5	18.86879539
378	18.79436302
377.5	18.72552109
377	18.65269661
376.5	18.59191704
376	18.50702477
375.5	18.44177246
375	18.39002609
374.5	18.29772949
374	18.20917702
373.5	18.15078163
373	18.04826355
372.5	17.96916962
372	17.87200356
371.5	17.76778984
371	17.66417122
370.5	17.54709053
370	17.42196846
369.5	17.30047989
369	17.17612839
368.5	17.03696632
368	16.89386749
367.5	16.71979332
367	16.55360413
366.5	16.35853195
366	16.17286491
365.5	15.96350956
365	15.72108841
364.5	15.48148823
364	15.2395916
363.5	14.97490883
363	14.67232132
362.5	14.37929249
362	14.04981041
361.5	13.70634842
361	13.33639336
360.5	12.95972729
360	12.54894257
359.5	12.12786484
359	11.68889713
358.5	11.23160839
358	10.74268532
357.5	10.25518894
357	9.751348495
356.5	9.212100983
356	8.6758461
355.5	8.117978096
355	7.565921783
354.5	7.012919903
354	6.451756477
353.5	5.910480499
353	5.364527702
352.5	4.83380127
352	4.317035675
351.5	3.822035074
351	3.354729414
350.5	2.91910553
350	2.507025003
349.5	2.129886627
349	1.791216969
348.5	1.482330441
348	1.213354468
347.5	0.9806110263
347	0.7703080773
346.5	0.6087093353
346	0.4612324238
345.5	0.349426806
345	0.2571554482
344.5	0.1795377582
344	0.1277650446
343.5	0.0859848261
