PWO_J34_before	
Wavelength (nm)	%T
900	82.54477692
899.5	80.5620575
899	81.65613556
898.5	81.64151001
898	81.83885193
897.5	80.67938232
897	82.25710297
896.5	81.26085663
896	82.37513733
895.5	81.76010132
895	80.85606384
894.5	81.23234558
894	80.67594147
893.5	80.53222656
893	82.15493011
892.5	80.72603607
892	80.61504364
891.5	81.57554626
891	81.03380585
890.5	81.74037933
890	80.32228088
889.5	80.51818085
889	81.5716629
888.5	80.58955383
888	81.0270462
887.5	82.51853943
887	80.42388916
886.5	80.57013702
886	80.08179474
885.5	81.30967712
885	80.37887573
884.5	81.3082962
884	81.92955017
883.5	80.77350616
883	81.65661621
882.5	81.20994568
882	80.63977051
881.5	80.34337616
881	81.42049408
880.5	81.71637726
880	81.13384247
879.5	80.91555786
879	81.28891754
878.5	81.10644531
878	81.02394104
877.5	80.61122131
877	80.98776245
876.5	81.28907776
876	80.11503601
875.5	81.11554718
875	80.57987976
874.5	80.73369598
874	80.15113831
873.5	80.5993576
873	79.26488495
872.5	80.533638
872	80.55601501
871.5	80.94238281
871	79.81084442
870.5	80.62854004
870	80.87030029
869.5	80.20609283
869	80.82411957
868.5	80.95546722
868	80.34899139
867.5	80.9032135
867	80.84243011
866.5	80.19002533
866	80.91415405
865.5	80.10234833
865	80.73750305
864.5	80.12627411
864	80.3999939
863.5	80.45296478
863	80.51072693
862.5	80.43599701
862	80.69151306
861.5	80.05982971
861	80.18443298
860.5	80.2124939
860	80.41446686
859.5	80.44271851
859	80.12080383
858.5	80.15478516
858	80.20360565
857.5	80.24758911
857	80.06151581
856.5	79.94335938
856	80.17441559
855.5	80.16475677
855	80.38618469
854.5	80.2614975
854	80.14339447
853.5	80.28109741
853	79.72501373
852.5	80.1750412
852	79.86236572
851.5	80.03192902
851	79.86969757
850.5	79.76447296
850	79.6975708
849.5	79.87784576
849	80.01405334
848.5	79.66508484
848	79.67059326
847.5	79.75545502
847	79.75930023
846.5	79.54590607
846	79.81413269
845.5	79.74263
845	79.65105438
844.5	79.64034271
844	79.60705566
843.5	79.62333679
843	79.21839142
842.5	79.49256897
842	79.53608704
841.5	79.59738159
841	79.34738159
840.5	79.55839539
840	79.47734833
839.5	79.39763641
839	79.41230774
838.5	79.37817383
838	79.36289978
837.5	79.46611023
837	79.27242279
836.5	79.14227295
836	79.33312988
835.5	79.19932556
835	79.26956177
834.5	79.17297363
834	79.29004669
833.5	79.35366821
833	79.19934082
832.5	79.19392395
832	78.93274689
831.5	79.18188477
831	79.16443634
830.5	79.05304718
830	79.10746002
829.5	79.11966705
829	79.16120148
828.5	79.07138824
828	79.14099121
827.5	79.06559753
827	79.02618408
826.5	79.07562256
826	78.98988342
825.5	79.01620483
825	78.92215729
824.5	78.91171265
824	78.92948151
823.5	78.87056732
823	78.88587189
822.5	78.87843323
822	78.93820953
821.5	78.84127808
821	78.84020233
820.5	78.85454559
820	78.7758255
819.5	78.83559418
819	78.89070129
818.5	78.83589935
818	78.8376236
817.5	78.77923584
817	78.82592773
816.5	78.78079224
816	78.869133
815.5	78.74144745
815	78.67510223
814.5	78.7180481
814	78.61287689
813.5	78.62836456
813	78.63051605
812.5	78.68955231
812	78.6481781
811.5	78.59338379
811	78.64929199
810.5	78.55953217
810	78.59401703
809.5	78.64293671
809	78.62247467
808.5	78.59054565
808	78.53687286
807.5	78.48882294
807	78.57468414
806.5	78.60823059
806	78.5050354
805.5	78.49224091
805	78.57529449
804.5	78.42631531
804	78.5541153
803.5	78.59199524
803	78.49037933
802.5	78.52217865
802	78.48136139
801.5	78.44206238
801	78.44441223
800.5	78.4280777
800	78.41729736
799.5	78.42092896
799	78.37535095
798.5	78.42871857
798	78.3681488
797.5	78.35263062
797	78.37436676
796.5	78.34007263
796	78.23564148
795.5	78.4108963
795	78.33673096
794.5	78.36323547
794	78.29073334
793.5	78.25827789
793	78.29372406
792.5	78.24842072
792	78.29288483
791.5	78.26998901
791	78.28009796
790.5	78.19125366
790	78.22666931
789.5	78.25453186
789	78.27716827
788.5	78.21349335
788	78.20717621
787.5	78.18051147
787	78.07517242
786.5	78.18547058
786	78.16583252
785.5	78.10492706
785	78.1362381
784.5	78.12898254
784	78.2177887
783.5	78.14405823
783	78.08016968
782.5	78.10211182
782	78.10487366
781.5	78.03326416
781	78.06341553
780.5	78.07637787
780	78.07352448
779.5	78.09394836
779	78.07012177
778.5	77.97422028
778	77.97644806
777.5	78.03348541
777	77.97464752
776.5	77.98758698
776	78.0092926
775.5	77.98105621
775	77.91738892
774.5	77.93802643
774	77.9384079
773.5	77.92399597
773	77.9283371
772.5	77.89368439
772	77.83163452
771.5	77.89627075
771	77.9083786
770.5	77.95821381
770	77.85005188
769.5	77.88716125
769	77.83675385
768.5	77.87526703
768	77.88103485
767.5	77.81018829
767	77.83776855
766.5	77.75899506
766	77.77906799
765.5	77.8285141
765	77.84506989
764.5	77.84923553
764	77.74803162
763.5	77.80905151
763	77.76422882
762.5	77.72239685
762	77.73468781
761.5	77.76381683
761	77.72660065
760.5	77.705513
760	77.78812408
759.5	77.7437973
759	77.66400146
758.5	77.64880371
758	77.70426178
757.5	77.63408661
757	77.67636871
756.5	77.64666748
756	77.61672211
755.5	77.64975739
755	77.63982391
754.5	77.63541412
754	77.65458679
753.5	77.56645966
753	77.56351471
752.5	77.56501007
752	77.58496857
751.5	77.57064819
751	77.55406189
750.5	77.51134491
750	77.56298065
749.5	77.56763458
749	77.5103302
748.5	77.47449493
748	77.52009583
747.5	77.48245239
747	77.4574585
746.5	77.45110321
746	77.46212769
745.5	77.49090576
745	77.41950989
744.5	77.45281982
744	77.4042511
743.5	77.40853119
743	77.39627838
742.5	77.37833405
742	77.36520386
741.5	77.41244507
741	77.35198975
740.5	77.30977631
740	77.31713867
739.5	77.29667664
739	77.314888
738.5	77.28071594
738	77.29615021
737.5	77.29109192
737	77.31190491
736.5	77.24363708
736	77.25246429
735.5	77.24993134
735	77.20091248
734.5	77.19956207
734	77.22974396
733.5	77.21806335
733	77.16610718
732.5	77.17977142
732	77.1483078
731.5	77.14992523
731	77.12409973
730.5	77.11810303
730	77.10682678
729.5	77.08119965
729	77.10336304
728.5	77.0938797
728	77.09670258
727.5	77.07853699
727	77.05052948
726.5	77.02086639
726	77.07236481
725.5	77.02133179
725	77.01963043
724.5	77.03199005
724	77.00139618
723.5	76.98932648
723	76.97514343
722.5	76.96678162
722	76.95406342
721.5	76.95365906
721	76.97737885
720.5	76.91158295
720	76.94940948
719.5	76.91631317
719	76.89163971
718.5	76.88600159
718	76.90788269
717.5	76.88111877
717	76.86675262
716.5	76.89186859
716	76.81376648
715.5	76.8416214
715	76.83467865
714.5	76.81265259
714	76.78999329
713.5	76.77922821
713	76.7951889
712.5	76.77533722
712	76.76062012
711.5	76.71350098
711	76.72866058
710.5	76.72632599
710	76.740448
709.5	76.70948029
709	76.68183899
708.5	76.70330048
708	76.66338348
707.5	76.67159271
707	76.66750336
706.5	76.63352203
706	76.64653778
705.5	76.64751434
705	76.56490326
704.5	76.59350586
704	76.58959198
703.5	76.57215881
703	76.55060577
702.5	76.54084778
702	76.56136322
701.5	76.55258942
701	76.51392365
700.5	76.50830841
700	76.51707458
699.5	76.46717834
699	76.48247528
698.5	76.48391724
698	76.44820404
697.5	76.45449066
697	76.42914581
696.5	76.42234802
696	76.44101715
695.5	76.42038727
695	76.40612793
694.5	76.3928833
694	76.39044189
693.5	76.3476944
693	76.37646484
692.5	76.36703491
692	76.34184265
691.5	76.32150269
691	76.32279968
690.5	76.334198
690	76.30500031
689.5	76.27811432
689	76.26953888
688.5	76.24448395
688	76.26570129
687.5	76.25614929
687	76.24747467
686.5	76.22679138
686	76.22019196
685.5	76.19136047
685	76.17803192
684.5	76.1860733
684	76.16464233
683.5	76.15325165
683	76.16838074
682.5	76.12683105
682	76.11901093
681.5	76.13513947
681	76.08618164
680.5	76.083992
680	76.0776062
679.5	76.08861542
679	76.06314087
678.5	76.04074097
678	76.04647827
677.5	76.02474976
677	76.01169586
676.5	76.00073242
676	75.99648285
675.5	75.97618866
675	75.95848083
674.5	75.9525528
674	75.95638275
673.5	75.96897888
673	75.92934418
672.5	75.8898468
672	75.8976059
671.5	75.88392639
671	75.86575317
670.5	75.86126709
670	75.86449432
669.5	75.85092926
669	75.82797241
668.5	75.81811523
668	75.79396057
667.5	75.79732513
667	75.77258301
666.5	75.76344299
666	75.73668671
665.5	75.75580597
665	75.73152161
664.5	75.70567322
664	75.69252014
663.5	75.69182587
663	75.66296387
662.5	75.66287231
662	75.66590881
661.5	75.63361359
661	75.63469696
660.5	75.60973358
660	75.60681152
659.5	75.59376526
659	75.55983734
658.5	75.53717041
658	75.52420807
657.5	75.53990173
657	75.52312469
656.5	75.48497009
656	75.46711731
655.5	75.47132111
655	75.45339203
654.5	75.44418335
654	75.41755676
653.5	75.39595032
653	75.40319061
652.5	75.40723419
652	75.3854599
651.5	75.36828613
651	75.33958435
650.5	75.33715057
650	75.31556702
649.5	75.27368164
649	75.24641418
648.5	75.23860931
648	75.21764374
647.5	75.22328949
647	75.16503143
646.5	75.17340088
646	75.15216064
645.5	75.13353729
645	75.11898041
644.5	75.09041595
644	75.06748199
643.5	75.05051422
643	75.02612305
642.5	75.02870941
642	75.00854492
641.5	74.96869659
641	74.9648056
640.5	74.95189667
640	74.90475464
639.5	74.88706207
639	74.8839798
638.5	74.86462402
638	74.84741974
637.5	74.82497406
637	74.79840851
636.5	74.7802124
636	74.77284241
635.5	74.72792816
635	74.70881653
634.5	74.7151413
634	74.67584229
633.5	74.66907501
633	74.63977051
632.5	74.60512543
632	74.59912872
631.5	74.55365753
631	74.56459808
630.5	74.53653717
630	74.48766327
629.5	74.47685242
629	74.47473145
628.5	74.444664
628	74.43511963
627.5	74.41868591
627	74.38122559
626.5	74.37314606
626	74.35458374
625.5	74.32099915
625	74.31488037
624.5	74.32191467
624	74.27154541
623.5	74.24570465
623	74.23748779
622.5	74.19863129
622	74.19075775
621.5	74.179245
621	74.16430664
620.5	74.11867523
620	74.12506104
619.5	74.0858078
619	74.07461548
618.5	74.09631348
618	74.08039093
617.5	74.06330109
617	74.04249573
616.5	74.03440094
616	74.00833893
615.5	73.97695923
615	73.96879578
614.5	73.94999695
614	73.95378876
613.5	73.93967438
613	73.91017151
612.5	73.88806152
612	73.891922
611.5	73.88179016
611	73.82897949
610.5	73.84674835
610	73.8270874
609.5	73.80036926
609	73.79767609
608.5	73.76465607
608	73.74768066
607.5	73.7457428
607	73.73026276
606.5	73.69862366
606	73.66993713
605.5	73.66671753
605	73.65406036
604.5	73.62658691
604	73.6044693
603.5	73.5718689
603	73.57106018
602.5	73.52950287
602	73.51651001
601.5	73.49503326
601	73.46295929
600.5	73.43637085
600	73.4328537
599.5	73.41352081
599	73.38187408
598.5	73.34000397
598	73.32218933
597.5	73.29599762
597	73.28726959
596.5	73.24367523
596	73.22109222
595.5	73.20018768
595	73.16416168
594.5	73.13337708
594	73.08981323
593.5	73.0605011
593	73.04494476
592.5	73.02961731
592	72.97108459
591.5	72.95766449
591	72.92631531
590.5	72.88184357
590	72.86792755
589.5	72.83415222
589	72.80179596
588.5	72.76522827
588	72.71411896
587.5	72.71343231
587	72.6745224
586.5	72.64138794
586	72.61569214
585.5	72.59676361
585	72.55508423
584.5	72.53811646
584	72.49113464
583.5	72.47945404
583	72.44017792
582.5	72.39880371
582	72.38747406
581.5	72.39369965
581	72.34492493
580.5	72.33717346
580	72.28131866
579.5	72.25596619
579	72.22261047
578.5	72.22071838
578	72.19018555
577.5	72.18185425
577	72.11502838
576.5	72.11476135
576	72.07461548
575.5	72.06411743
575	72.02082825
574.5	72.01262665
574	71.985466
573.5	71.96734619
573	71.94670105
572.5	71.9140625
572	71.87031555
571.5	71.86660767
571	71.87143707
570.5	71.83235931
570	71.80730438
569.5	71.77060699
569	71.74689484
568.5	71.77115631
568	71.70396423
567.5	71.68538666
567	71.66416931
566.5	71.65841675
566	71.62893677
565.5	71.61186218
565	71.60826111
564.5	71.58181
564	71.57525635
563.5	71.53833008
563	71.52318573
562.5	71.49247742
562	71.4628067
561.5	71.44978333
561	71.43382263
560.5	71.41122437
560	71.41669464
559.5	71.40223694
559	71.37572479
558.5	71.35057068
558	71.34336853
557.5	71.32530975
557	71.30654907
556.5	71.26701355
556	71.25971222
555.5	71.23583221
555	71.21717834
554.5	71.16769409
554	71.150383
553.5	71.13433838
553	71.13945007
552.5	71.0956955
552	71.07779694
551.5	71.06497192
551	71.05065155
550.5	71.02252197
550	71.03500366
549.5	70.96954346
549	70.97769928
548.5	70.93972015
548	70.9173584
547.5	70.91997528
547	70.88689423
546.5	70.85722351
546	70.82488251
545.5	70.80809021
545	70.80657196
544.5	70.80596924
544	70.77812195
543.5	70.75312042
543	70.74153137
542.5	70.7241745
542	70.70145416
541.5	70.68621826
541	70.66469574
540.5	70.66264343
540	70.64245605
539.5	70.59499359
539	70.60504913
538.5	70.56591034
538	70.54655457
537.5	70.5333786
537	70.51714325
536.5	70.51264954
536	70.46788025
535.5	70.44322205
535	70.42783356
534.5	70.39962769
534	70.38774109
533.5	70.36883545
533	70.33745575
532.5	70.31678772
532	70.29608917
531.5	70.30601501
531	70.26191711
530.5	70.22942352
530	70.21746063
529.5	70.18714905
529	70.18741608
528.5	70.13735962
528	70.10852814
527.5	70.11745453
527	70.08157349
526.5	70.05954742
526	70.02412415
525.5	70.01393127
525	69.96839905
524.5	69.96569824
524	69.94541931
523.5	69.90036011
523	69.88684845
522.5	69.86645508
522	69.86975861
521.5	69.83525085
521	69.80237579
520.5	69.76570129
520	69.77825928
519.5	69.75862122
519	69.70627594
518.5	69.6937027
518	69.67210388
517.5	69.64008331
517	69.61611176
516.5	69.61019897
516	69.57341766
515.5	69.54950714
515	69.5249176
514.5	69.52006531
514	69.48118591
513.5	69.45926666
513	69.43312073
512.5	69.41166687
512	69.39134216
511.5	69.3637619
511	69.33241272
510.5	69.30731201
510	69.28840637
509.5	69.27407074
509	69.2383194
508.5	69.20445251
508	69.18118286
507.5	69.17617035
507	69.12721252
506.5	69.12016296
506	69.08325195
505.5	69.04291534
505	69.03411865
504.5	69.0085144
504	68.98773193
503.5	68.95475769
503	68.92050171
502.5	68.91772461
502	68.88357544
501.5	68.85355377
501	68.83096313
500.5	68.82411194
500	68.76967621
499.5	68.75395966
499	68.72673798
498.5	68.70193481
498	68.65103912
497.5	68.6425705
497	68.59964752
496.5	68.57415009
496	68.55818939
495.5	68.53491974
495	68.48921204
494.5	68.48129272
494	68.45233154
493.5	68.43543243
493	68.40229034
492.5	68.36844635
492	68.32539368
491.5	68.32250214
491	68.30970764
490.5	68.25106812
490	68.25043488
489.5	68.19584656
489	68.18927765
488.5	68.15896606
488	68.13298798
487.5	68.09739685
487	68.06339264
486.5	68.0430069
486	68.01271057
485.5	67.98904419
485	67.96604919
484.5	67.9256897
484	67.8993988
483.5	67.87836456
483	67.83238983
482.5	67.81692505
482	67.80226898
481.5	67.75967407
481	67.71697998
480.5	67.69317627
480	67.68609619
479.5	67.63652802
479	67.60591125
478.5	67.57925415
478	67.53431702
477.5	67.52455139
477	67.48293304
476.5	67.45549774
476	67.42556763
475.5	67.39263153
475	67.35733032
474.5	67.32778931
474	67.27682495
473.5	67.27558899
473	67.26228333
472.5	67.21244049
472	67.17441559
471.5	67.15111542
471	67.11876678
470.5	67.0920639
470	67.04990387
469.5	67.02360535
469	66.99227142
468.5	66.95972443
468	66.91999817
467.5	66.90244293
467	66.87883759
466.5	66.83172607
466	66.79958344
465.5	66.79566956
465	66.72887421
464.5	66.69768524
464	66.66519165
463.5	66.63985443
463	66.60852051
462.5	66.55919647
462	66.52977753
461.5	66.52005005
461	66.48082733
460.5	66.43487549
460	66.40341949
459.5	66.37746429
459	66.31210327
458.5	66.28656769
458	66.27288055
457.5	66.23939514
457	66.18708801
456.5	66.12808228
456	66.10285187
455.5	66.07397461
455	66.04993439
454.5	66.01137543
454	65.99851227
453.5	65.94128418
453	65.88502502
452.5	65.87202454
452	65.848526
451.5	65.775177
451	65.73253632
450.5	65.69528198
450	65.66261292
449.5	65.61999512
449	65.58831024
448.5	65.54050446
448	65.51747894
447.5	65.48661804
447	65.44412231
446.5	65.40813446
446	65.39115906
445.5	65.32215118
445	65.2543869
444.5	65.23278046
444	65.18622589
443.5	65.14479065
443	65.11589813
442.5	65.06654358
442	65.03553009
441.5	64.98931885
441	64.92458344
440.5	64.89237213
440	64.84763336
439.5	64.80786896
439	64.75219727
438.5	64.71039581
438	64.6716156
437.5	64.6378479
437	64.5712204
436.5	64.49571991
436	64.50131226
435.5	64.4528656
435	64.39441681
434.5	64.323349
434	64.27249908
433.5	64.23387146
433	64.20418549
432.5	64.13523865
432	64.0827179
431.5	64.03638458
431	63.9642601
430.5	63.94318771
430	63.88780594
429.5	63.82614517
429	63.78171921
428.5	63.72077942
428	63.67615891
427.5	63.61325455
427	63.57163239
426.5	63.50753784
426	63.45249939
425.5	63.39045715
425	63.31654358
424.5	63.2649498
424	63.20800018
423.5	63.16296387
423	63.09767914
422.5	63.02687454
422	62.95363998
421.5	62.91165924
421	62.83150482
