PWO_J33_before	
Wavelength (nm)	%T
813	71.71860504
812.5	71.80752563
812	71.81098175
811.5	71.87978363
811	71.71859741
810.5	71.77178955
810	71.73861694
809.5	71.71637726
809	71.72131348
808.5	71.7203598
808	71.64884949
807.5	71.73867035
807	71.70578003
806.5	71.60163879
806	71.64831543
805.5	71.59259033
805	71.66070557
804.5	71.66140747
804	71.62791443
803.5	71.67692566
803	71.69320679
802.5	71.52101135
802	71.56845093
801.5	71.57672119
801	71.7039566
800.5	71.47681427
800	71.64056396
799.5	71.62444305
799	71.51767731
798.5	71.57672882
798	71.45759583
797.5	71.44246674
797	71.47907257
796.5	71.52785492
796	71.5693512
795.5	71.45942688
795	71.47167969
794.5	71.49259186
794	71.51277161
793.5	71.43434906
793	71.48358917
792.5	71.4671936
792	71.46212006
791.5	71.48095703
791	71.36185455
790.5	71.38837433
790	71.40810394
789.5	71.39224243
789	71.35533142
788.5	71.33826447
788	71.42676544
787.5	71.40749359
787	71.42803955
786.5	71.40730286
786	71.3984375
785.5	71.34858704
785	71.38320923
784.5	71.3602066
784	71.36668396
783.5	71.3385849
783	71.27961731
782.5	71.23545837
782	71.32730103
781.5	71.30436707
781	71.30670166
780.5	71.3460083
780	71.28988647
779.5	71.27314758
779	71.30422211
778.5	71.32653809
778	71.32051849
777.5	71.27130127
777	71.24575043
776.5	71.28768921
776	71.27994537
775.5	71.23623657
775	71.25114441
774.5	71.27132416
774	71.25335693
773.5	71.27706146
773	71.26519775
772.5	71.27966309
772	71.21160126
771.5	71.2774353
771	71.25800323
770.5	71.20851135
770	71.18279266
769.5	71.27057648
769	71.21647644
768.5	71.28147125
768	71.15380859
767.5	71.22278595
767	71.2454834
766.5	71.17242432
766	71.17642975
765.5	71.21992493
765	71.20998383
764.5	71.20581055
764	71.21779633
763.5	71.19853973
763	71.18512726
762.5	71.21455383
762	71.19496155
761.5	71.17064667
761	71.19562531
760.5	71.13800812
760	71.19311523
759.5	71.21022797
759	71.19068146
758.5	71.15285492
758	71.12267303
757.5	71.08481598
757	71.14181519
756.5	71.18260193
756	71.14190674
755.5	71.1460495
755	71.12692261
754.5	71.11455536
754	71.17881775
753.5	71.12563324
753	71.11872101
752.5	71.12666321
752	71.10536957
751.5	71.15708923
751	71.13908386
750.5	71.10359192
750	71.09571838
749.5	71.13074493
749	71.1313324
748.5	71.06846619
748	71.14373016
747.5	71.12768555
747	71.07204437
746.5	71.13820648
746	71.11634064
745.5	71.09536743
745	71.07025146
744.5	71.11533356
744	71.11078644
743.5	71.10074615
743	71.06763458
742.5	71.08360291
742	71.07497406
741.5	71.1290741
741	71.10608673
740.5	71.12918091
740	71.07185364
739.5	71.09519196
739	71.12000275
738.5	71.08646393
738	71.09991455
737.5	71.13689423
737	71.13441467
736.5	71.07762909
736	71.11187744
735.5	71.08557129
735	71.09474182
734.5	71.09273529
734	71.12965393
733.5	71.11128998
733	71.10088348
732.5	71.1007843
732	71.08971405
731.5	71.11754608
731	71.07483673
730.5	71.10543823
730	71.11795044
729.5	71.12824249
729	71.10847473
