PWO_J33_irr	
Wavelength (nm)	%T
900	71.54244995
899.5	72.45670319
899	72.76106262
898.5	73.3373642
898	72.09942627
897.5	72.36821747
897	71.41265869
896.5	71.6501236
896	73.01498413
895.5	72.77125549
895	72.711586
894.5	73.41035461
894	73.36386108
893.5	71.9788208
893	71.90120697
892.5	72.35159302
892	71.8262558
891.5	71.63541412
891	72.53587341
890.5	71.91438293
890	72.22338867
889.5	72.85784912
889	72.3546524
888.5	72.27758026
888	70.43569183
887.5	74.30589294
887	72.48959351
886.5	71.70175934
886	73.3921051
885.5	72.78269196
885	71.90446472
884.5	72.8022995
884	72.43697357
883.5	73.03403473
883	72.46585083
882.5	72.92123413
882	72.2883606
881.5	73.30369568
881	72.96078491
880.5	72.61644745
880	72.73113251
879.5	72.99269867
879	72.96091461
878.5	73.45628357
878	73.55636597
877.5	72.19380188
877	72.23242188
876.5	72.77019501
876	73.19984436
875.5	72.67578125
875	73.32984924
874.5	72.55033875
874	73.2498703
873.5	72.95370483
873	73.05167389
872.5	72.69704437
872	72.54950714
871.5	72.63282776
871	72.89331818
870.5	73.14134979
870	73.3048172
869.5	72.5555191
869	72.99877167
868.5	72.59555054
868	72.65463257
867.5	73.32772827
867	72.84215546
866.5	73.34626007
866	73.41446686
865.5	72.97277832
865	72.4835968
864.5	73.03770447
864	73.15885925
863.5	72.89339447
863	73.33419037
862.5	73.09523773
862	72.98270416
861.5	72.55374908
861	73.1758194
860.5	72.87906647
860	73.01607513
859.5	72.62411499
859	72.63414001
858.5	72.54888916
858	72.57344055
857.5	72.89321136
857	72.80264282
856.5	72.72813416
856	72.77713776
855.5	72.67825317
855	72.79718018
854.5	72.56687927
854	72.69181061
853.5	72.63912964
853	72.67663574
852.5	72.36843109
852	72.65001678
851.5	72.67841339
851	72.36024475
850.5	72.16838074
850	72.25039673
849.5	72.23352814
849	72.30213165
848.5	72.18560791
848	72.34436798
847.5	72.15332794
847	72.11086273
846.5	72.33602142
846	72.06222534
845.5	72.2168045
845	72.08626556
844.5	72.00298309
844	72.2029953
843.5	71.93997955
843	72.10803223
842.5	71.92644501
842	71.77042389
841.5	72.04402924
841	71.8068924
840.5	71.83345795
840	71.8681488
839.5	71.69777679
839	71.67234802
838.5	71.80607605
838	71.40624237
837.5	71.45933533
837	71.54640198
836.5	71.60923767
836	71.53181458
835.5	71.63236237
835	71.51151276
834.5	71.51189423
834	71.41551208
833.5	71.28541565
833	71.29400635
832.5	71.42044067
832	71.33324432
831.5	71.22579956
831	71.27529144
830.5	71.31324768
830	71.37392426
829.5	71.3850174
829	71.25279999
828.5	71.35801697
828	71.22241211
827.5	71.30827332
827	71.27664948
826.5	71.23342896
826	71.13038635
825.5	71.15087891
825	71.01184082
824.5	71.17173767
824	71.10443878
823.5	71.1818924
823	71.10115051
822.5	71.01691437
822	70.96368408
821.5	70.91674042
821	71.04458618
820.5	70.90461731
820	71.01057434
819.5	70.93690491
819	70.86922455
818.5	70.94613647
818	70.9348526
817.5	70.8483963
817	70.91082764
816.5	70.91439819
816	70.8052063
815.5	70.79045105
815	70.78453827
814.5	70.78196716
814	70.83268738
813.5	70.76513672
813	70.68301392
812.5	70.61392975
812	70.68912506
811.5	70.69117737
811	70.69625854
810.5	70.75846863
810	70.6492691
809.5	70.64283752
809	70.63272858
808.5	70.63781738
808	70.5735321
807.5	70.57324982
807	70.52435303
806.5	70.57684326
806	70.45285034
805.5	70.58300781
805	70.52567291
804.5	70.49003601
804	70.41398621
803.5	70.45462036
803	70.49565887
802.5	70.41009521
802	70.47039032
801.5	70.38201904
801	70.42118073
800.5	70.35243988
800	70.28222656
799.5	70.3004837
799	70.25826263
798.5	70.28701019
798	70.2835083
797.5	70.26321411
797	70.32727814
796.5	70.22566223
796	70.24132538
795.5	70.20864868
795	70.11108398
794.5	70.15403748
794	70.17403412
793.5	70.06829834
793	70.13752747
792.5	70.12365723
792	70.08145142
791.5	70.03138733
791	70.09749603
790.5	70.09785461
790	70.1027832
789.5	70.0341568
789	70.05275726
788.5	70.04605865
788	70.02337646
787.5	69.96913147
787	69.95928955
786.5	69.96761322
786	69.96276093
785.5	69.94348907
785	69.9655304
784.5	69.938591
784	69.87722778
783.5	69.88273621
783	69.87774658
782.5	69.84148407
782	69.83486176
781.5	69.84568787
781	69.76583862
780.5	69.83254242
780	69.75513458
779.5	69.74545288
779	69.72915649
778.5	69.76660156
778	69.71691132
777.5	69.76178741
777	69.69150543
776.5	69.71881104
776	69.71323395
775.5	69.69514465
775	69.66298676
774.5	69.62052155
774	69.71379852
773.5	69.62928009
773	69.62521362
772.5	69.60757446
772	69.59903717
771.5	69.60890198
771	69.55502319
770.5	69.58947754
770	69.57300568
769.5	69.53655243
769	69.52453613
768.5	69.51292419
768	69.50432587
767.5	69.51940918
767	69.48542786
766.5	69.44501495
766	69.54096985
765.5	69.43496704
765	69.41503143
764.5	69.42237091
764	69.41529846
763.5	69.39112854
763	69.40079498
762.5	69.40827179
762	69.33148193
761.5	69.33600616
761	69.33809662
760.5	69.3766098
760	69.37108612
759.5	69.28998566
759	69.33828735
758.5	69.29653168
758	69.28721619
757.5	69.29012299
757	69.28488159
756.5	69.26470184
756	69.19815063
755.5	69.24035645
755	69.22018433
754.5	69.21691895
754	69.18283081
753.5	69.15419006
753	69.14881134
752.5	69.14690399
752	69.15052032
751.5	69.16990662
751	69.13049316
750.5	69.06049347
750	69.07951355
749.5	69.09957886
749	69.10396576
748.5	69.13021088
748	69.09156036
747.5	69.03614044
747	69.06256866
746.5	69.08588409
746	69.05979156
745.5	69.03657532
745	68.99860382
744.5	69.01570892
744	69.00470734
743.5	69.07476044
743	68.99784088
742.5	68.99358368
742	68.99890137
741.5	68.98475647
741	68.98301697
740.5	68.99052429
740	68.9418335
739.5	68.95079041
739	68.92423248
738.5	68.9537735
738	68.91884613
737.5	68.8861618
737	68.94555664
736.5	68.92557526
736	68.90415192
735.5	68.89083099
735	68.85040283
734.5	68.88789368
734	68.89398193
733.5	68.88143921
733	68.90080261
732.5	68.88328552
732	68.86074066
731.5	68.8115387
731	68.85494995
730.5	68.84470367
730	68.89814758
729.5	68.84390259
729	68.86140442
728.5	68.88660431
728	68.83314514
727.5	68.84003448
727	68.80278015
726.5	68.84175873
726	68.81475067
725.5	68.81251526
725	68.76908875
724.5	68.80838776
724	68.78137207
723.5	68.78182983
723	68.77728271
722.5	68.81049347
722	68.76261139
