nm; E1
596.000000; 12.479400
595.000000; 12.556600
594.000000; 12.639800
593.000000; 12.699900
592.000000; 12.773900
591.000000; 12.838800
590.000000; 12.913700
589.000000; 12.972800
588.000000; 13.044100
587.000000; 13.123200
586.000000; 13.199300
585.000000; 13.271100
584.000000; 13.340100
583.000000; 13.400600
582.000000; 13.480100
581.000000; 13.540600
580.000000; 13.611100
579.000000; 13.684700
578.000000; 13.747900
577.000000; 13.806700
576.000000; 13.868200
575.000000; 13.924200
574.000000; 13.963400
573.000000; 14.007800
572.000000; 14.056500
571.000000; 14.088400
570.000000; 14.105400
569.000000; 14.108400
568.000000; 14.116700
567.000000; 14.106400
566.000000; 14.071400
565.000000; 14.020300
564.000000; 13.963800
563.000000; 13.828700
562.000000; 13.535300
561.000000; 13.773200
560.000000; 14.002600
559.000000; 14.229600
558.000000; 14.474200
557.000000; 14.729700
556.000000; 14.961100
555.000000; 15.228500
554.000000; 15.505700
553.000000; 15.770000
552.000000; 16.055300
551.000000; 16.344100
550.000000; 16.645000
549.000000; 16.961100
548.000000; 17.289800
547.000000; 17.623100
546.000000; 17.982000
545.000000; 18.346100
544.000000; 18.729400
543.000000; 19.132800
542.000000; 19.561000
541.000000; 20.007100
540.000000; 20.487900
539.000000; 20.980300
538.000000; 21.508400
537.000000; 22.070800
536.000000; 22.670700
535.000000; 23.330400
534.000000; 24.014700
533.000000; 24.739500
532.000000; 25.533300
531.000000; 26.379100
530.000000; 27.290300
529.000000; 28.249300
528.000000; 29.311600
527.000000; 30.442600
526.000000; 31.660200
525.000000; 32.958500
524.000000; 34.364400
523.000000; 35.864700
522.000000; 37.449700
521.000000; 39.125300
520.000000; 40.877700
519.000000; 42.685600
518.000000; 44.534000
517.000000; 46.369200
516.000000; 48.158500
515.000000; 49.796400
514.000000; 51.251900
513.000000; 52.407500
512.000000; 53.150300
511.000000; 53.418800
510.000000; 53.121100
509.000000; 52.223400
508.000000; 50.709600
507.000000; 48.609500
506.000000; 46.030300
505.000000; 43.041400
504.000000; 39.810900
503.000000; 36.473600
502.000000; 33.211600
501.000000; 30.096200
500.000000; 27.205200
