nm, %T_slow_20171215, %T_fast_20171215, E1_fast_20171215, E1_empty_fast_20171215,result_fast_20171215, E1_slow_20171215, E1_empty_slow_20171215,result_slow_20171215, %T_fast_20171218, %T_slow_20171218, E1_fast_20171218, E1_empty_fast_20171218,result_fast_20171218
807,73.176847,72.382737,0.731,1.0095,72.41208519,0.7404,1.0231,72.36829244,72.979781,72.80038,0.7651,1.0561,72.4457911183
806,73.089786,72.409684,0.7427,1.0245,72.49389946,0.7493,1.0358,72.34022012,72.998256,72.688563,0.779,1.0735,72.5663716814
805,73.224127,72.406622,0.7543,1.0365,72.77375784,0.7608,1.0518,72.33314318,72.637619,72.756845,0.7877,1.0847,72.6191573707
804,73.060403,72.310355,0.7655,1.0512,72.82153729,0.7715,1.0671,72.29875363,72.863469,72.860604,0.7987,1.1022,72.4641625839
803,73.185501,72.56944,0.776,1.0678,72.67278517,0.7828,1.0815,72.38095238,72.882926,72.65644,0.8108,1.1202,72.379932155
802,73.160197,72.395726,0.7883,1.0843,72.70128193,0.7937,1.098,72.2859745,72.784449,72.669292,0.8237,1.1366,72.4705261306
801,73.212067,72.40556,0.8004,1.0956,73.0558598,0.8053,1.114,72.28904847,72.803407,72.669606,0.8336,1.1495,72.5184862984
800,73.171016,72.373998,0.8088,1.114,72.6032316,0.8172,1.1297,72.33778879,72.765193,72.738746,0.8458,1.1673,72.4578086182
799,73.091135,72.385037,0.8201,1.1341,72.31284719,0.8295,1.1454,72.42011524,72.921686,72.611965,0.8587,1.187,72.3420387532
798,73.248048,72.324651,0.8333,1.1477,72.60608173,0.8434,1.1632,72.50687758,72.971371,72.632792,0.8734,1.2019,72.6682752309
797,73.118009,72.364161,0.8503,1.1647,73.00592427,0.855,1.1805,72.42693774,72.613749,72.908399,0.8851,1.2194,72.5848778088
796,73.126,72.504543,0.8577,1.1835,72.47148289,0.8681,1.1992,72.38992662,72.672112,72.677022,0.8974,1.2392,72.4176888315
795,73.050728,72.555544,0.872,1.2038,72.43728194,0.8806,1.2188,72.25139481,72.574618,72.640262,0.9132,1.2613,72.4014905256
794,73.217611,72.588208,0.8869,1.2195,72.72652727,0.8936,1.2377,72.19843258,72.667353,72.624603,0.9286,1.2762,72.7628898292
793,73.136513,72.351923,0.9022,1.239,72.81678773,0.9075,1.2558,72.26469183,72.492792,72.556546,0.9395,1.2959,72.4978779227
792,73.211147,72.32435,0.9126,1.2586,72.50913714,0.923,1.2767,72.29576251,72.673646,72.596785,0.954,1.3204,72.2508330809
