nm; E1
596.000000; 17.772600
595.000000; 17.879200
594.000000; 17.991500
593.000000; 18.089700
592.000000; 18.186300
591.000000; 18.304100
590.000000; 18.413500
589.000000; 18.517400
588.000000; 18.620800
587.000000; 18.711000
586.000000; 18.834200
585.000000; 18.929200
584.000000; 19.034100
583.000000; 19.148400
582.000000; 19.253200
581.000000; 19.353300
580.000000; 19.457400
579.000000; 19.577100
578.000000; 19.662700
577.000000; 19.751900
576.000000; 19.845400
575.000000; 19.930500
574.000000; 19.992000
573.000000; 20.071100
572.000000; 20.128800
571.000000; 20.189300
570.000000; 20.215700
569.000000; 20.239100
568.000000; 20.261800
567.000000; 20.241100
566.000000; 20.193700
565.000000; 20.121800
564.000000; 20.025300
563.000000; 19.857700
562.000000; 19.447900
561.000000; 19.787600
560.000000; 20.115300
559.000000; 20.469800
558.000000; 20.814600
557.000000; 21.194800
556.000000; 21.547000
555.000000; 21.923700
554.000000; 22.327000
553.000000; 22.734300
552.000000; 23.136700
551.000000; 23.555200
550.000000; 24.006900
549.000000; 24.477500
548.000000; 24.936800
547.000000; 25.433600
546.000000; 25.957700
545.000000; 26.480600
544.000000; 27.047500
543.000000; 27.660100
542.000000; 28.273200
541.000000; 28.933000
540.000000; 29.620200
539.000000; 30.359300
538.000000; 31.120800
537.000000; 31.942800
536.000000; 32.844800
535.000000; 33.778400
534.000000; 34.782700
533.000000; 35.856500
532.000000; 37.021500
531.000000; 38.271900
530.000000; 39.608300
529.000000; 41.036400
528.000000; 42.571700
527.000000; 44.215200
526.000000; 46.018500
525.000000; 47.939300
524.000000; 49.992000
523.000000; 52.186200
522.000000; 54.527500
521.000000; 56.988900
520.000000; 59.540900
519.000000; 62.201400
518.000000; 64.928000
517.000000; 67.615600
516.000000; 70.255400
515.000000; 72.691700
514.000000; 74.821500
513.000000; 76.533000
512.000000; 77.630100
511.000000; 78.048700
510.000000; 77.643100
509.000000; 76.337200
508.000000; 74.160600
507.000000; 71.132500
506.000000; 67.352800
505.000000; 63.043600
504.000000; 58.329900
503.000000; 53.468400
502.000000; 48.695900
501.000000; 44.124600
500.000000; 39.891300
499.000000; 36.067600
498.000000; 32.678300
497.000000; 29.720900
496.000000; 27.156000
495.000000; 24.962200
494.000000; 23.117200
493.000000; 21.582500
492.000000; 20.312200
491.000000; 19.271800
490.000000; 18.434300
489.000000; 17.781100
488.000000; 17.281900
487.000000; 16.939000
486.000000; 16.743700
485.000000; 16.685900
484.000000; 16.795300
483.000000; 17.159600
482.000000; 17.917300
481.000000; 19.088900
480.000000; 20.548500
479.000000; 22.126000
478.000000; 23.622800
477.000000; 24.999200
476.000000; 26.373400
475.000000; 27.790200
474.000000; 29.275800
473.000000; 30.826600
472.000000; 32.418200
471.000000; 34.021200
470.000000; 35.588600
469.000000; 37.064000
468.000000; 38.362500
467.000000; 39.397000
466.000000; 40.080800
465.000000; 40.319100
464.000000; 40.071300
463.000000; 39.337000
462.000000; 38.173700
461.000000; 36.655500
460.000000; 34.877200
459.000000; 32.942100
458.000000; 30.955400
457.000000; 28.998300
456.000000; 27.121800
455.000000; 25.365200
454.000000; 23.744900
453.000000; 22.274500
452.000000; 20.954500
451.000000; 19.776200
450.000000; 18.729000
449.000000; 17.781800
448.000000; 16.918400
447.000000; 16.122100
446.000000; 15.378200
445.000000; 14.814700
444.000000; 14.547300
443.000000; 14.521500
442.000000; 14.544100
441.000000; 14.517300
440.000000; 14.458600
439.000000; 14.387800
438.000000; 14.297800
437.000000; 14.191600
436.000000; 14.096200
435.000000; 13.996400
434.000000; 13.883400
433.000000; 13.770700
432.000000; 13.654000
431.000000; 13.542700
430.000000; 13.431700
429.000000; 13.317500
428.000000; 13.209000
427.000000; 13.091400
426.000000; 12.972600
425.000000; 12.852400
424.000000; 12.731900
423.000000; 12.616400
422.000000; 12.500200
421.000000; 12.372800
420.000000; 12.247900
419.000000; 12.120800
418.000000; 11.994700
417.000000; 11.856500
416.000000; 11.720300
415.000000; 11.577000
414.000000; 11.423400
413.000000; 11.282700
412.000000; 11.132300
411.000000; 10.977000
410.000000; 10.814800
409.000000; 10.648100
408.000000; 10.479000
407.000000; 10.309600
406.000000; 10.132000
405.000000; 9.963000
404.000000; 9.786400
403.000000; 9.616300
402.000000; 9.449100
401.000000; 9.282600
400.000000; 9.116900
399.000000; 8.962800
398.000000; 8.815500
397.000000; 8.655600
396.000000; 8.504700
395.000000; 8.359600
394.000000; 8.225500
393.000000; 8.089300
392.000000; 7.948000
391.000000; 7.820000
390.000000; 7.694300
389.000000; 7.572400
388.000000; 7.447200
387.000000; 7.332500
386.000000; 7.216800
385.000000; 7.090300
384.000000; 6.975600
383.000000; 6.873400
382.000000; 6.759500
381.000000; 6.656400
380.000000; 6.554400
379.000000; 2.247700
378.000000; 1.485700
377.000000; 1.724700
376.000000; 1.966200
375.000000; 2.204400
374.000000; 2.426700
373.000000; 2.646200
372.000000; 2.843400
371.000000; 3.031800
370.000000; 3.200100
369.000000; 3.358100
368.000000; 3.489700
367.000000; 3.614200
366.000000; 3.725100
365.000000; 3.814900
364.000000; 3.885000
363.000000; 3.944800
362.000000; 3.996200
361.000000; 4.039500
360.000000; 4.059200
359.000000; 4.079100
358.000000; 4.087700
357.000000; 4.086300
356.000000; 4.083100
355.000000; 4.066300
354.000000; 4.047500
353.000000; 4.021800
352.000000; 3.998900
351.000000; 3.956200
350.000000; 3.924200
349.000000; 3.875900
348.000000; 3.835700
347.000000; 3.789800
346.000000; 3.743700
345.000000; 3.698800
344.000000; 3.646500
343.000000; 3.611900
342.000000; 3.562000
341.000000; 3.516700
340.000000; 3.472300
339.000000; 3.435100
338.000000; 3.380500
337.000000; 3.335400
336.000000; 3.285000
335.000000; 3.235800
334.000000; 3.178900
333.000000; 3.123700
332.000000; 3.071300
331.000000; 3.011500
330.000000; 2.950200
329.000000; 2.882500
328.000000; 2.825700
327.000000; 2.755100
326.000000; 2.686000
325.000000; 2.618700
324.000000; 2.554600
323.000000; 2.475600
322.000000; 2.405700
321.000000; 2.336800
320.000000; 2.430300
319.000000; 5.815500
318.000000; 5.905200
317.000000; 5.988000
316.000000; 6.083100
315.000000; 6.177200
314.000000; 6.281600
313.000000; 6.402100
312.000000; 6.531800
311.000000; 6.668000
310.000000; 6.808800
309.000000; 6.970100
308.000000; 7.127100
307.000000; 7.295600
306.000000; 7.459800
305.000000; 7.624000
304.000000; 7.778100
303.000000; 7.922500
302.000000; 8.057500
301.000000; 8.191900
300.000000; 8.304800
299.000000; 8.403400
298.000000; 8.488200
297.000000; 8.577300
296.000000; 8.649400
295.000000; 8.727200
294.000000; 8.801900
293.000000; 8.878200
292.000000; 8.952200
291.000000; 9.031900
290.000000; 9.111600
289.000000; 9.191600
288.000000; 9.287500
287.000000; 9.389600
286.000000; 9.484500
285.000000; 9.577700
284.000000; 9.684800
283.000000; 9.801800
282.000000; 9.938700
281.000000; 10.086300
280.000000; 10.241200
279.000000; 10.393600
278.000000; 10.536400
277.000000; 10.683300
276.000000; 10.829900
275.000000; 10.994000
274.000000; 11.157000
273.000000; 11.335200
272.000000; 11.533900
271.000000; 11.762000
270.000000; 12.004300
269.000000; 12.256800
268.000000; 12.501400
267.000000; 12.770000
266.000000; 13.049700
265.000000; 13.330400
264.000000; 13.610000
263.000000; 13.890400
262.000000; 14.166100
261.000000; 14.450900
260.000000; 14.732100
259.000000; 15.029600
258.000000; 15.344000
257.000000; 15.668200
256.000000; 15.998900
255.000000; 16.326400
254.000000; 16.655600
253.000000; 16.945000
252.000000; 17.203800
251.000000; 17.422500
250.000000; 17.624400
